,model,best_score,best_params,test_acc,elapsed_time_run
0,knn,0.8580662020905923,{},0.8530559167750326,2.154029369354248
1,GaussianNB,0.9006081723154894,{},0.9323797139141743,0.6439459323883057
2,svm,0.8369601942772675,{},0.8478543563068921,10.904756784439087
3,DecisionTreeClassifier,0.8785270826734243,{},0.9037711313394018,3.6010658740997314
4,random_forest,0.9844076655052264,{},0.9960988296488946,43.99638271331787
5,AdaBoost,0.0688470066518847,{},0.06762028608582575,29.496132135391235
6,LinearDiscriminantAnalysis,0.6885339457290677,{},0.6501950585175552,0.6459343433380127
7,MLPClassifier,0.8145433428360256,{},0.8426527958387516,231.64812207221985
8,logistic_regression,0.30886495618202936,{},0.31729518855656696,9.822509765625
