,model,best_score,best_params,test_acc,elapsed_time_run
0,knn,0.8671623904550735,{},0.8595578673602081,4.197997570037842
1,GaussianNB,0.9113324886495618,{},0.9440832249674902,1.2684242725372314
2,svm,0.8697613768345477,{},0.9011703511053316,19.34406876564026
3,DecisionTreeClassifier,0.8856725794530673,{},0.9024707412223667,13.240427732467651
4,random_forest,0.9902544609861683,{},0.9986996098829649,102.92536187171936
5,AdaBoost,0.05098828001267025,{},0.053315994798439535,68.21436023712158
6,LinearDiscriminantAnalysis,0.7086712068419386,{},0.6631989596879063,1.7383980751037598
7,MLPClassifier,0.8116286558969487,{},0.8205461638491548,274.72183895111084
8,logistic_regression,0.2370895364797804,{},0.24187256176853056,9.86351466178894
