,model,best_score,best_params,test_acc,elapsed_time_run
0,knn,0.873329637841833,{},0.8647594278283485,6.659747838973999
1,GaussianNB,0.9103547671840355,{},0.9427828348504551,2.2371902465820312
2,svm,0.8619665294055536,{},0.8868660598179454,26.564637422561646
3,DecisionTreeClassifier,0.8918408826945413,{},0.8842652795838751,13.000335693359375
4,random_forest,0.9931781226903178,{},1.0,83.07870697975159
5,AdaBoost,0.06203357617991765,{},0.06501950585175553,74.91493153572083
6,LinearDiscriminantAnalysis,0.7385518952592123,{},0.6905071521456437,2.5134196281433105
7,MLPClassifier,0.8739837398373984,{},0.8842652795838751,269.6946454048157
8,logistic_regression,0.3731712596346743,{},0.39011703511053314,17.08369493484497
