,model,best_score,best_params,test_acc,elapsed_time_run
0,knn,0.873329637841833,{},0.8647594278283485,6.196908712387085
1,GaussianNB,0.9103547671840355,{},0.9427828348504551,1.7627549171447754
2,svm,0.8619665294055536,{},0.8868660598179454,20.67724108695984
3,DecisionTreeClassifier,0.8843701826628656,{},0.881664499349805,14.33149790763855
4,random_forest,0.99252824411361,{},1.0,87.21567273139954
5,AdaBoost,0.05618730862633301,{},0.06631989596879063,91.0861873626709
6,logistic_regression,0.36537694013303773,{},0.3810143042912874,37.94228529930115
